2023-04-09 00:47:19,491 | DEBUG | route: auth/login
2023-04-09 00:47:19,491 | DEBUG | route: auth/login
2023-04-09 00:47:19,492 | DEBUG | Dispatching request to auth microservice: POST http://localhost:8001/auth/login
2023-04-09 00:47:19,492 | DEBUG | Dispatching request to auth microservice: POST http://localhost:8001/auth/login
2023-04-09 00:47:31,453 | DEBUG | route: auth/refresh_token
2023-04-09 00:47:31,453 | DEBUG | route: auth/refresh_token
2023-04-09 00:47:31,453 | DEBUG | Dispatching request to auth microservice: POST http://localhost:8001/auth/refresh_token
2023-04-09 00:47:31,453 | DEBUG | Dispatching request to auth microservice: POST http://localhost:8001/auth/refresh_token
2023-04-09 00:47:38,413 | DEBUG | route: auth/profile/336790892_3346830845568109_6083365218015350012_n.jpg
2023-04-09 00:47:38,413 | DEBUG | route: auth/profile/336790892_3346830845568109_6083365218015350012_n.jpg
2023-04-09 00:47:38,414 | DEBUG | Dispatching request to auth microservice: GET http://localhost:8001/auth/profile/336790892_3346830845568109_6083365218015350012_n.jpg
2023-04-09 00:47:38,414 | DEBUG | Dispatching request to auth microservice: GET http://localhost:8001/auth/profile/336790892_3346830845568109_6083365218015350012_n.jpg
2023-04-09 00:47:53,343 | DEBUG | route: comments
2023-04-09 00:47:53,343 | DEBUG | route: comments
2023-04-09 00:47:53,344 | DEBUG | Dispatching request to comments microservice: GET http://localhost:8003/comments?id=24&reply_to=27&limit=5&skip=0
2023-04-09 00:47:53,344 | DEBUG | Dispatching request to comments microservice: GET http://localhost:8003/comments?id=24&reply_to=27&limit=5&skip=0
2023-04-09 00:47:53,651 | DEBUG | route: comments/
2023-04-09 00:47:53,651 | DEBUG | route: comments/
2023-04-09 00:47:53,652 | DEBUG | Dispatching request to comments microservice: GET http://localhost:8003/comments/?id=24&reply_to=27&limit=5&skip=0
2023-04-09 00:47:53,652 | DEBUG | Dispatching request to comments microservice: GET http://localhost:8003/comments/?id=24&reply_to=27&limit=5&skip=0
2023-04-09 00:48:08,626 | DEBUG | route: comments/24
2023-04-09 00:48:08,626 | DEBUG | route: comments/24
2023-04-09 00:48:08,627 | DEBUG | Dispatching request to comments microservice: POST http://localhost:8003/comments/24
2023-04-09 00:48:08,627 | DEBUG | Dispatching request to comments microservice: POST http://localhost:8003/comments/24
2023-04-09 01:36:49,403 | DEBUG | route: auth/create_user
2023-04-09 01:36:49,403 | DEBUG | route: auth/create_user
2023-04-09 01:36:49,403 | DEBUG | Dispatching request to auth microservice: POST http://127.0.0.1:8001/auth/create_user
2023-04-09 01:36:49,403 | DEBUG | Dispatching request to auth microservice: POST http://127.0.0.1:8001/auth/create_user
2023-04-09 13:41:26,840 | DEBUG | route: auth/create_user
2023-04-09 13:41:26,840 | DEBUG | route: auth/create_user
2023-04-09 13:41:26,843 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 13:41:26,843 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 13:41:44,299 | DEBUG | route: auth/login
2023-04-09 13:41:44,299 | DEBUG | route: auth/login
2023-04-09 13:41:44,301 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 13:41:44,301 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 13:51:17,550 | DEBUG | route: auth/create_user
2023-04-09 13:51:17,550 | DEBUG | route: auth/create_user
2023-04-09 13:51:17,555 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 13:51:17,555 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 13:52:06,826 | DEBUG | route: auth/login
2023-04-09 13:52:06,826 | DEBUG | route: auth/login
2023-04-09 13:52:06,828 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 13:52:06,828 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 13:56:08,997 | DEBUG | route: auth/login
2023-04-09 13:56:08,997 | DEBUG | route: auth/login
2023-04-09 13:56:08,998 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 13:56:08,998 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 13:58:32,324 | DEBUG | route: auth/login
2023-04-09 13:58:32,324 | DEBUG | route: auth/login
2023-04-09 13:58:32,326 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 13:58:32,326 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:01:21,986 | DEBUG | route: auth/login
2023-04-09 15:01:21,986 | DEBUG | route: auth/login
2023-04-09 15:01:21,987 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:01:21,987 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:04:28,324 | DEBUG | route: auth/create_user
2023-04-09 15:04:28,324 | DEBUG | route: auth/create_user
2023-04-09 15:04:28,325 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 15:04:28,325 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 15:07:07,126 | DEBUG | route: auth/create_user
2023-04-09 15:07:07,126 | DEBUG | route: auth/create_user
2023-04-09 15:07:07,127 | DEBUG | Dispatching request to auth microservice: POST http://127.0.0.1:8001/auth/create_user
2023-04-09 15:07:07,127 | DEBUG | Dispatching request to auth microservice: POST http://127.0.0.1:8001/auth/create_user
2023-04-09 15:07:12,495 | DEBUG | route: auth/login
2023-04-09 15:07:12,495 | DEBUG | route: auth/login
2023-04-09 15:07:12,496 | DEBUG | Dispatching request to auth microservice: POST http://127.0.0.1:8001/auth/login
2023-04-09 15:07:12,496 | DEBUG | Dispatching request to auth microservice: POST http://127.0.0.1:8001/auth/login
2023-04-09 15:07:43,697 | DEBUG | route: auth/refresh_token
2023-04-09 15:07:43,697 | DEBUG | route: auth/refresh_token
2023-04-09 15:07:43,698 | DEBUG | Dispatching request to auth microservice: POST http://127.0.0.1:8001/auth/refresh_token
2023-04-09 15:07:43,698 | DEBUG | Dispatching request to auth microservice: POST http://127.0.0.1:8001/auth/refresh_token
2023-04-09 15:12:46,916 | DEBUG | route: auth/create_user
2023-04-09 15:12:46,916 | DEBUG | route: auth/create_user
2023-04-09 15:12:46,921 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 15:12:46,921 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 15:12:55,365 | DEBUG | route: auth/login
2023-04-09 15:12:55,365 | DEBUG | route: auth/login
2023-04-09 15:12:55,368 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:12:55,368 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:15:33,522 | DEBUG | route: auth/login
2023-04-09 15:15:33,522 | DEBUG | route: auth/login
2023-04-09 15:15:33,526 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:15:33,526 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:21:40,218 | DEBUG | route: auth/create_user
2023-04-09 15:21:40,218 | DEBUG | route: auth/create_user
2023-04-09 15:21:40,221 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 15:21:40,221 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 15:21:44,928 | DEBUG | route: auth/login
2023-04-09 15:21:44,928 | DEBUG | route: auth/login
2023-04-09 15:21:44,929 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:21:44,929 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:34:18,580 | DEBUG | route: auth/login
2023-04-09 15:34:18,580 | DEBUG | route: auth/login
2023-04-09 15:34:18,583 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:34:18,583 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:43:05,922 | DEBUG | route: auth/login
2023-04-09 15:43:05,922 | DEBUG | route: auth/login
2023-04-09 15:43:05,925 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:43:05,925 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:55:33,803 | DEBUG | route: auth/login
2023-04-09 15:55:33,803 | DEBUG | route: auth/login
2023-04-09 15:55:33,808 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 15:55:33,808 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 16:25:04,891 | DEBUG | route: auth/login
2023-04-09 16:25:04,891 | DEBUG | route: auth/login
2023-04-09 16:25:04,897 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 16:25:04,897 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 16:49:03,136 | DEBUG | route: auth/login
2023-04-09 16:49:03,136 | DEBUG | route: auth/login
2023-04-09 16:49:03,150 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 16:49:03,150 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 16:49:25,967 | DEBUG | route: auth/create_user
2023-04-09 16:49:25,967 | DEBUG | route: auth/create_user
2023-04-09 16:49:25,969 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 16:49:25,969 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 16:49:43,524 | DEBUG | route: auth/verification/
2023-04-09 16:49:43,524 | DEBUG | route: auth/verification/
2023-04-09 16:49:43,525 | DEBUG | Dispatching request to auth microservice: GET http://0.0.0.0:8001/auth/verification/?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJ1c2VyX25hbWUiOiJyZXpheWVrIiwiZXhwIjoxNjgxMDYyNTY2fQ.8_2YSuIsC3KxPLz_I60WQ2X_bLaCxW_-71kk1BfYRwY
2023-04-09 16:49:43,525 | DEBUG | Dispatching request to auth microservice: GET http://0.0.0.0:8001/auth/verification/?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJ1c2VyX25hbWUiOiJyZXpheWVrIiwiZXhwIjoxNjgxMDYyNTY2fQ.8_2YSuIsC3KxPLz_I60WQ2X_bLaCxW_-71kk1BfYRwY
2023-04-09 16:49:49,019 | DEBUG | route: favicon.ico
2023-04-09 16:49:49,019 | DEBUG | route: favicon.ico
2023-04-09 16:50:45,871 | DEBUG | route: auth/verification/
2023-04-09 16:50:45,871 | DEBUG | route: auth/verification/
2023-04-09 16:50:45,873 | DEBUG | Dispatching request to auth microservice: GET http://0.0.0.0:8001/auth/verification/?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJ1c2VyX25hbWUiOiJyZXpheWVrIiwiZXhwIjoxNjgxMDYyNTY2fQ.8_2YSuIsC3KxPLz_I60WQ2X_bLaCxW_-71kk1BfYRwY
2023-04-09 16:50:45,873 | DEBUG | Dispatching request to auth microservice: GET http://0.0.0.0:8001/auth/verification/?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJ1c2VyX25hbWUiOiJyZXpheWVrIiwiZXhwIjoxNjgxMDYyNTY2fQ.8_2YSuIsC3KxPLz_I60WQ2X_bLaCxW_-71kk1BfYRwY
2023-04-09 16:50:58,380 | DEBUG | route: auth/login
2023-04-09 16:50:58,380 | DEBUG | route: auth/login
2023-04-09 16:50:58,381 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 16:50:58,381 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 17:15:54,732 | DEBUG | route: auth/login
2023-04-09 17:15:54,732 | DEBUG | route: auth/login
2023-04-09 17:15:54,734 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 17:15:54,734 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 17:16:01,930 | DEBUG | route: auth/create_user
2023-04-09 17:16:01,930 | DEBUG | route: auth/create_user
2023-04-09 17:16:01,934 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 17:16:01,934 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 17:16:37,717 | DEBUG | route: auth/login
2023-04-09 17:16:37,717 | DEBUG | route: auth/login
2023-04-09 17:16:37,718 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 17:16:37,718 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 17:19:00,640 | DEBUG | route: auth/reverify
2023-04-09 17:19:00,640 | DEBUG | route: auth/reverify
2023-04-09 17:19:00,643 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/reverify
